30Z,30Z,70Z,70Z,55R,55R,70R,70R
Flow,Head,Flow,Head,Flow,Head,Flow,Head
6.745632122,10.17911319,25.92529114,17.05057408,34.03200643,6.170416372,41.16431244,7.629443405
6.960824742,10.13855109,26.62461219,16.81213123,35.06325643,6.056471004,42.48751986,7.514003265
7.176017363,10.08871765,27.32393323,16.55161034,36.09450643,5.942525636,43.81072729,7.392977312
7.391209984,10.04120205,28.02325428,16.28667385,37.03200643,5.835592291,45.13393472,7.268227483
7.606402604,9.989050775,28.65264322,16.03167247,37.87575643,5.740929986,46.45714214,7.136029904
7.821595225,9.936899502,29.28203216,15.76121646,38.71950643,5.637502652,47.78034957,7.009418137
8.036787846,9.882430395,29.9114211,15.47972144,39.56325643,5.537143078,49.103557,6.87535862
8.251980467,9.823325619,30.47087793,15.22030445,40.31325643,5.442919024,50.31649714,6.748002079
8.467173087,9.767697595,31.03033477,14.94432893,41.06325643,5.34869497,51.52943728,6.618411212
8.682365708,9.70395715,31.58979161,14.65731439,41.81325643,5.252279659,52.74237742,6.488820346
8.897558329,9.639057788,32.14924844,14.35926084,42.56325643,5.149290576,53.84505028,6.372635431
9.11275095,9.571840592,32.63877317,14.08328532,43.31325643,5.052875265,54.94772313,6.247513215
9.32794357,9.502305561,33.1282979,13.79627078,44.06325643,4.945503669,56.05039599,6.126859649
9.543136191,9.430452697,33.51292448,13.5368538,44.81325643,4.844705843,57.26333613,5.983490443
9.758328812,9.35512308,33.89755105,13.25535877,45.56325643,4.73514299,58.47627627,5.847568988
9.973521432,9.271681044,34.31714368,12.99042227,46.31325643,4.627771393,59.57894912,5.715743796
10.18871405,9.188239007,34.68079062,12.74535601,47.00700643,4.515579031,60.68162198,5.583918604
10.40390667,9.108273722,35.08639683,12.46422895,47.81325643,4.399880658,61.78429484,5.452093412
10.61909929,9.021354934,35.55594096,12.13410967,48.50700643,4.287688296,62.88696769,5.313565245
10.8163592,8.936522197,35.93956851,11.82249388,49.18825643,4.169068246,63.98964055,5.177271402
10.99568638,8.855861561,36.34517471,11.52223252,50.00075643,4.040514498,65.0923134,5.04097756
11.17501356,8.773810225,36.76476734,11.18002288,50.68825643,3.923647454,66.08471897,4.911945274
11.35434075,8.684805386,37.17037354,10.85547567,51.43825643,3.798015382,67.07712454,4.781795826
11.51573521,8.611098254,37.46408838,10.56183772,52.17263143,3.683339595,68.1797974,4.636564683
11.67712968,8.527656217,37.7438168,10.30794025,52.59450643,3.589115541,69.17220297,4.504180909
